Symbol,Name,MarketCap,IPOyear,Sector,industry,Summary Quote
ALIM,"Alimera Sciences, Inc.",59707536.21,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim
ALKS,Alkermes plc,5091663482,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
ALGT,Allegiant Travel Company,2002525854,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt
ALLB,"Alliance Bancorp, Inc. of Pennsylvania",72315095.6,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/allb
AFOP,"Alliance Fiber Optic Products, Inc.",287432937,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/afop
AIQ,"Alliance HealthCare Services, Inc.",271817354.2,2001,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aiq
AHGP,"Alliance Holdings GP, L.P.",3419374560,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp
ARLP,"Alliance Resource Partners, L.P.",2756334937,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp
AHPI,"Allied Healthcare Products, Inc.",18944066.92,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi
AMOT,"Allied Motion Technologies, Inc.",84127304.94,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot
ALLT,Allot Communications Ltd.,428878794.6,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt
MDRX,"Allscripts Healthcare Solutions, Inc.",2558768371,1999,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx
AFAM,Almost Family Inc,226442159.6,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam
ALNY,"Alnylam Pharmaceuticals, Inc.",3437275818,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny
AOSL,Alpha and Omega Semiconductor Limited,191510087.4,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl
ATEC,"Alphatec Holdings, Inc.",180602438.1,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec
ALTI,Altair Nanotechnologies Inc.,68381395.3,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alti
ALTR,Altera Corporation,10648622884,1988,Technology,Semiconductors,http://www.nasdaq.com/symbol/altr
ASPS,Altisource Portfolio Solutions S.A.,3311769566,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps
APSA,Alto Palermo S.A.,680475859.2,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/apsa
AIMC,"Altra Holdings, Inc.",833311385.4,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc
ALVR,Alvarion Ltd.,6251433.296,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alvr
AMAG,"AMAG Pharmaceuticals, Inc.",533627564.4,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag
AMRN,Amarin Corporation PLC,265825580,1995,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn
